Class ID;Definitions;decreased_in_magnitude_relative_to;functionally related to
http://purl.obolibrary.org/obo/PATO_0002270;An increased number of physical objects that are accumulated within another physical object usually as a result of a failure to break down or remove objects in a timely manner.;;
http://purl.obolibrary.org/obo/PATO_0002380;A female fertility quality inhering in a female by virtue of the bearer's not being capable of reproducing because of surgical removal of ovaries.;;
http://purl.obolibrary.org/obo/PATO_0000082;A rhythm quality inhering in a bearer by virtue of the repetitiveness of bearer's rhythm.;;
http://purl.obolibrary.org/obo/PATO_0000409;A spheroid quality inhering in a bearer by virtue of the bearer's exhibiting an equatorial diameter greater than its polar diameter.;;
http://purl.obolibrary.org/obo/PATO_0002500;An orientation quality inhering in a bearer by virtue of the bearer having a position that is directed ventrolaterally.;;
http://purl.obolibrary.org/obo/PATO_0002030;A molecular quality that inheres in a molecular entity by virtue of whether the bearer exhibits the ability of a probe to react precisely with a specific target molecule.;;
http://purl.obolibrary.org/obo/PATO_0001243;A color consisting of blue hue and high brightness.;;
http://purl.obolibrary.org/obo/PATO_0001370;A coating quality which is sticky or clammy.;;
http://purl.obolibrary.org/obo/PATO_0070021;A pyramidal cell morphology that inheres in neurons which have an apical tree which is oriented towards the white matter.;;
http://purl.obolibrary.org/obo/PATO_0001260;A color consisting of purple color and high brightness.;;
http://purl.obolibrary.org/obo/PATO_0002174;An alignment quality inhering in a bearer by virtue of the bearer's being in a improper spatial positioning away from an additional entity.;;
http://purl.obolibrary.org/obo/PATO_0001730;A quality inhering in a bearer by virtue of the bearer's disposition to shed body parts.;;
http://purl.obolibrary.org/obo/PATO_0001713;A perimeter which is relatively low.;;
http://purl.obolibrary.org/obo/PATO_0045062;A solubility which is relatively normal or average;;
http://purl.obolibrary.org/obo/PATO_0001823;A wetness quality inhering in a bearer by virtue of the bearer's being covered by a liquid.;;
http://purl.obolibrary.org/obo/PATO_0045045;A radioactivity which is relatively normal or average;;
http://purl.obolibrary.org/obo/PATO_0001799;A shape quality inhering in a bearer by virtue of the bearer's exhibiting disturbance of its smoothness or regularity.;;
http://purl.obolibrary.org/obo/PATO_0001458;A sensitivity of a process quality inhering in a bearer by virtue of the bearer's unfolding in a location with or without oxygen.;;
http://purl.obolibrary.org/obo/PATO_0002017;;;
http://purl.obolibrary.org/obo/PATO_0000169;An organismal quality inhering in a bearer or a population by virtue of the bearer's disposition to survive and develop normally or the number of surviving individuals in a given population.;;
http://purl.obolibrary.org/obo/PATO_0002504;An orientation quality inhering in a bearer by virtue of the bearer having a position that is directed posterodorsally.;;
http://purl.obolibrary.org/obo/PATO_0002370;The number of time that a viviparous organism has given birth.;;
http://purl.obolibrary.org/obo/PATO_0045049;A sensitivity toward an external stimulus which is relatively normal or average;;
http://purl.obolibrary.org/obo/PATO_0001473;A quality inhering in a bearer by virtue of the bearer's being present in two copies.;;
http://purl.obolibrary.org/obo/PATO_0001583;A variability which is relatively low.;;
http://purl.obolibrary.org/obo/PATO_0001693;A viscosity which relatively high.;;
http://purl.obolibrary.org/obo/PATO_0001343;A S. pombe mating type determined by the gene configuration on the mat1 locus.;;
http://purl.obolibrary.org/obo/PATO_0002412;A color consisting of yellow and brown hue and low brightness.;;
http://purl.obolibrary.org/obo/PATO_0002164;A curvature quality inhering in a bearer by virtue of the bearer's being curved towards the middle.;;
http://purl.obolibrary.org/obo/PATO_0002147;A virulence that is relatively low.;;
http://purl.obolibrary.org/obo/PATO_0001720;A behavioral quality which holds by virtue of extent of the receptiveness of a female to male advances.;;
http://purl.obolibrary.org/obo/PATO_0001703;A color consisting of violet hue and low saturation.;;
http://purl.obolibrary.org/obo/PATO_0002257;A cuscpidate quality inhering in a bearer by virtue of the bearer possessing more than one cusp.;;
http://purl.obolibrary.org/obo/PATO_0001813;A structural quality inhering in a bearer by virtue of the bearer's lack elastic tension that facilitate response to stimuli.;;
http://purl.obolibrary.org/obo/PATO_0001830;A female fertility which is relatively low.;;
http://purl.obolibrary.org/obo/PATO_0015023;An decrease in combustibility.;;
http://purl.obolibrary.org/obo/PATO_0001923;A positional quality inhering in a bearer by virtue of the bearer's being positioned towards the side of an organism.;;
http://purl.obolibrary.org/obo/PATO_0002367;Male quality of being incapable to reproduce because of functional loss of the testicles from surgical removal or chemical means.;;
http://purl.obolibrary.org/obo/PATO_0002384;Presence of long chain aliphatic lipids on the surface of an organism.;;
http://purl.obolibrary.org/obo/PATO_0001233;A spatial quality inhering in a bearer by virtue of the bearer's being located toward the back or upper surface of an organism relative to another entity.;;
http://purl.obolibrary.org/obo/PATO_0002541;Pertaining to the ability or tendency of an organism or cell to maintain internal equilibrium by adjusting its physiological processes.;;
http://purl.obolibrary.org/obo/PATO_0002524;An orientation quality inhering in a bearer by virtue of the bearer having a position that is directed mesiolaterally.;;
http://purl.obolibrary.org/obo/PATO_0030002;A malformed quality inhering in a bearer by virtue of the bearer's gross morphology containing what are normally posterior structures and missing some or all of what are normally anterior structures.;;
http://purl.obolibrary.org/obo/PATO_0000700;A texture quality inhering in a bearer by virtue of the bearer's irregular surface.;;
http://purl.obolibrary.org/obo/PATO_0000189;A behavioral quality inhering in a bearer by virtue of whether the bearer's disposition to perceive differences between two or more stimuli.;;
http://purl.obolibrary.org/obo/PATO_0000299;A mobility quality of inhering in a bearer by virtue of the bearer's disposition to move freely.;;
http://purl.obolibrary.org/obo/PATO_0001031;A physical quality inhering in a bearer by virtue of the bearer's disposition to recover its size and shape after deformation in any way.;;
http://purl.obolibrary.org/obo/PATO_0001708;A size quality inhering in an bearer by virtue of the bearer's extension in one dimension.;;
http://purl.obolibrary.org/obo/PATO_0002169;A shape quality inhering in a bearer by virtue of the bearer's being split along the median axis.;;
http://purl.obolibrary.org/obo/PATO_0045069;A threshold which is relatively normal or average;;
http://purl.obolibrary.org/obo/PATO_0045086;An occurrence which is relatively normal.;;
http://purl.obolibrary.org/obo/PATO_0000546;A photosensitivity quality inhering in a bearer by virtue of the bearer's lacking photosensitivity.;;
http://purl.obolibrary.org/obo/PATO_0000639;A structural quality inhering in a bearer whose structure deteriorates or is lost over time due to an active pathological process.;;
http://purl.obolibrary.org/obo/PATO_0001477;A positional quality inhering in a bearer by virtue of the bearer's being drawn in or pulled back from any given point.;;
http://purl.obolibrary.org/obo/PATO_0001587;A variability of rate which is relatively high.;;
http://purl.obolibrary.org/obo/PATO_0001697;A photosensitivity which is relatively low.;;
http://purl.obolibrary.org/obo/PATO_0040002;A positional quality inhering in a bearer by virtue of some aspect of that bearer beginning from a position on another entity.;;
http://purl.obolibrary.org/obo/PATO_0001270;A color consisting of cyan colour and low saturation.;;
http://purl.obolibrary.org/obo/PATO_0001253;A color consisting of magenta color and high brightness.;;
http://purl.obolibrary.org/obo/PATO_0001964;A curled quality inhering in a bearer by virtue of the bearer's edges of its surface being rolled spirally downwards.;;
http://purl.obolibrary.org/obo/PATO_0001947;A color pattern inhering in a bearer by virtue of bearer's being covered with reticulated lines of a different hue or degree of saturation.;;
http://purl.obolibrary.org/obo/PATO_0001380;A polyploidy quality inhering in a bearer by virtue of the bearer's having an ancient polyploid ancestor.;;
http://purl.obolibrary.org/obo/PATO_0001817;A fatigability which is relatively low.;;
http://purl.obolibrary.org/obo/PATO_0001927;A fluorescence which is lower than normal.;;
http://purl.obolibrary.org/obo/PATO_0001850;A structural quality inhering in a bearer by virtue of the bearer's being fibrous tissue that replaces normal tissue destroyed by injury or disease.;;
http://purl.obolibrary.org/obo/PATO_0001740;A radiation quality inhering in a radioactive substance by virtue of its transformation (disintegration) rate.;;
http://purl.obolibrary.org/obo/PATO_0002054;A quality inhering in a bearer by virtue of the bearer's being flattened along transverse axis.;;
http://purl.obolibrary.org/obo/PATO_0002037;A structural quality inhering in a bearer by virtue of the bearer exhibiting deterioration of its structure.;;
http://purl.obolibrary.org/obo/PATO_0000454;A pilosity quality inhering in a bearer by virtue of the bearer's being covered with hair or hairlike projections.;;
http://purl.obolibrary.org/obo/PATO_0000330;A spatial pattern inhering in a bearer by virtue of the bearer's magnitude of or the relationships between its repeated parts lack consistency.;;
http://purl.obolibrary.org/obo/PATO_0001468;A curvature quality inhering in a bearer by virtue of the bearer's being curved towards the back or upper surface of an organism.;;
http://purl.obolibrary.org/obo/PATO_0001578;A permeability which is relatively low.;;
http://purl.obolibrary.org/obo/PATO_0001244;A color consisting of blue hue and low brightness.;;
http://purl.obolibrary.org/obo/PATO_0001261;A color consisting of red hue and low brightness.;;
http://purl.obolibrary.org/obo/PATO_0001354;A optical quality inhering in a bearer by virtue of the bearer's exhibiting low opacity.;;
http://purl.obolibrary.org/obo/PATO_0001371;A composition quality inhering in an bearer by virtue of the bearer's consistency of mucus.;;
